Name,Sourcing,Sourcing URL,Category,Amount,Price (total including shipping)
Orpheus Pico,Hack Club,N/A,MCU,2,$0
"Gateron Low Profile Switch 2.0 Red",AliExpress,https://www.aliexpress.com/item/1005005385675189.html,switches,"35 (set)",$15.85
"Transparent Keycaps with Black Bed",AliExpress,https://www.aliexpress.com/item/1005005984548224.html,keycaps,"40 (set)",$17.55
"SK6812 MINI-E LED",AliExpress,https://www.aliexpress.com/item/1005003056797785.html,misc,"100 (set)",$4.66
"0.91"" White OLED Display",AliExpress,https://www.aliexpress.com/item/1005001572699049.html,misc,2,$3.12
"1N4148 THT Diode",AliExpress,https://www.aliexpress.com/item/4000142272546.html,misc,"100 (set)",$1.97
"PJ-320A 3.5mm Female Jack Connector",AliExpress,https://www.aliexpress.com/item/4001161286315.html,misc,"20 (set)",$2.13
"M2x4 Hexagon Countersunk Head Screw with Nut",AliExpress,https://www.aliexpress.com/item/1005006883320887.html,fasteners,"50 (set)",$1.75
"M2x12 Hexagon Countersunk Head Screw with Nut",AliExpress,https://www.aliexpress.com/item/1005006883320887.html,fasteners,"50 (set)",$2.46
"Left + Right half PCBs",JLCPCB,https://jlcpcb.com,PCB,"10 (5 per half)",$40.37
