Designator,Mid X,Mid Y,Rotation,Layer
D1,24.11,-76.3,180.0,top
D10,58.595,-76.3,180.0,top
D11,58.61,-80.9,180.0,top
D12,58.61,-85.5,180.0,top
D13,70.09,-76.3,180.0,top
D14,70.11,-80.9,180.0,top
D15,70.11,-85.5,180.0,top
D16,58.61,-90.1,180.0,top
D17,70.11,-90.1,180.0,top
D2,24.11,-80.9,180.0,top
D3,24.11,-85.5,180.0,top
D4,35.605,-76.3,180.0,top
D5,35.61,-80.9,180.0,top
D6,35.61,-85.5,180.0,top
D7,47.1,-76.3,180.0,top
D8,47.11,-80.9,180.0,top
D9,47.11,-85.5,180.0,top
J1,134.35,-89.65,270.0,top
LED1,102.75,-22.35,0.0,bottom
LED10,64.75,-41.355,0.0,bottom
LED11,64.755,-60.35,0.0,bottom
LED12,45.75,-60.35,0.0,bottom
LED13,45.745,-41.35,0.0,bottom
LED14,45.755,-22.35,0.0,bottom
LED15,26.755,-22.35,0.0,bottom
LED16,26.75,-41.35,0.0,bottom
LED17,26.755,-60.35,0.0,bottom
LED2,102.75,-41.35,0.0,bottom
LED3,102.755,-60.35,0.0,bottom
LED4,102.75,-79.345,0.0,bottom
LED5,83.755,-79.35,0.0,bottom
LED6,83.755,-60.35,0.0,bottom
LED7,83.745,-41.35,0.0,bottom
LED8,83.75,-22.35,0.0,bottom
LED9,64.75,-22.35,0.0,bottom
OLED1,126.54,-75.4,270.0,top
R1,132.37,-84.56,180.0,top
R2,127.23,-89.26,90.0,top
SW1,26.6,-29.6875,0.0,top
SW10,83.6,-29.6875,0.0,top
SW11,83.6,-48.6875,0.0,top
SW12,83.6,-67.6875,0.0,top
SW13,83.6,-86.6875,0.0,top
SW14,102.6,-29.6875,0.0,top
SW15,102.6,-48.6875,0.0,top
SW16,102.6,-67.6875,0.0,top
SW17,102.6,-86.6875,0.0,top
SW2,26.6,-48.6875,0.0,top
SW3,26.6,-67.6875,0.0,top
SW4,45.6,-29.6875,0.0,top
SW5,45.6,-48.6875,0.0,top
SW6,45.6,-67.6875,0.0,top
SW7,64.6,-29.6875,0.0,top
SW8,64.6,-48.6875,0.0,top
SW9,64.6,-67.6875,0.0,top
U1,126.545,-46.285,0.0,top
